section_no,section_slug,day_order,platform,problem_id,title,url,cf_rating,atcoder_difficulty,qorithm_tier,tags,reason,is_checkpoint,reuse_note
1,"cpp-core-foundations",1,"codeforces","2000:A","Primary Task","https://codeforces.com/problemset/problem/2000/A",800,,"T1","[""implementation"",""math"",""strings""]","Progressive c++ core foundations practice at day 1.",false,""
1,"cpp-core-foundations",2,"codeforces","1790:A","Polycarp and the Day of Pi","https://codeforces.com/problemset/problem/1790/A",800,,"T1","[""implementation"",""math"",""strings""]","Progressive c++ core foundations practice at day 2.",false,""
1,"cpp-core-foundations",3,"codeforces","1676:C","Most Similar Words","https://codeforces.com/problemset/problem/1676/C",800,,"T1","[""brute force"",""greedy"",""implementation""]","Progressive c++ core foundations practice at day 3.",false,""
1,"cpp-core-foundations",4,"codeforces","2178:B","Impost or Sus","https://codeforces.com/problemset/problem/2178/B",900,,"T1","[""dp"",""greedy"",""implementation""]","Progressive c++ core foundations practice at day 4.",false,""
1,"cpp-core-foundations",5,"atcoder","abc234:abc234_e","E. Arithmetic Number","https://atcoder.jp/contests/abc234/tasks/abc234_e",,899,"T1","[""atcoder""]","Progressive c++ core foundations practice at day 5.",false,""
1,"cpp-core-foundations",6,"codeforces","2157:B","Expansion Plan 2","https://codeforces.com/problemset/problem/2157/B",900,,"T1","[""implementation"",""math""]","Progressive c++ core foundations practice at day 6.",false,""
1,"cpp-core-foundations",7,"codeforces","721:B","Passwords","https://codeforces.com/problemset/problem/721/B",1100,,"T2","[""implementation"",""math"",""sortings""]","Progressive c++ core foundations practice at day 7.",false,""
1,"cpp-core-foundations",8,"codeforces","2194:B","Offshores","https://codeforces.com/problemset/problem/2194/B",1000,,"T1","[""greedy"",""implementation"",""math""]","Progressive c++ core foundations practice at day 8.",false,""
1,"cpp-core-foundations",9,"atcoder","abc088:abc088_d","D. Grid Repainting","https://atcoder.jp/contests/abc088/tasks/abc088_d",,999,"T1","[""atcoder""]","Progressive c++ core foundations practice at day 9.",false,""
1,"cpp-core-foundations",10,"codeforces","2167:D","Yet Another Array Problem","https://codeforces.com/problemset/problem/2167/D",1000,,"T1","[""brute force"",""implementation"",""math""]","Progressive c++ core foundations practice at day 10.",false,""
1,"cpp-core-foundations",11,"codeforces","385:B","Bear and Strings","https://codeforces.com/problemset/problem/385/B",1200,,"T2","[""brute force"",""greedy"",""implementation""]","Progressive c++ core foundations practice at day 11.",false,""
1,"cpp-core-foundations",12,"codeforces","2208:B","Cyclists","https://codeforces.com/problemset/problem/2208/B",1100,,"T2","[""brute force"",""games"",""greedy""]","Progressive c++ core foundations practice at day 12.",false,""
1,"cpp-core-foundations",13,"codeforces","2185:D","OutOfMemoryError","https://codeforces.com/problemset/problem/2185/D",1100,,"T2","[""data structures"",""implementation"",""math""]","Progressive c++ core foundations practice at day 13.",false,""
1,"cpp-core-foundations",14,"atcoder","abc052:arc067_b","D. Walk and Teleport","https://atcoder.jp/contests/abc052/tasks/arc067_b",,1060,"T2","[""atcoder""]","Progressive c++ core foundations practice at day 14.",false,""
1,"cpp-core-foundations",15,"codeforces","2179:C","Blackslex and Number Theory","https://codeforces.com/problemset/problem/2179/C",1100,,"T2","[""implementation"",""math"",""number theory""]","Progressive c++ core foundations practice at day 15.",false,""
1,"cpp-core-foundations",16,"codeforces","2137:C","Maximum Even Sum","https://codeforces.com/problemset/problem/2137/C",1100,,"T2","[""brute force"",""greedy"",""implementation""]","Progressive c++ core foundations practice at day 16.",false,""
1,"cpp-core-foundations",17,"codeforces","2111:B","Fibonacci Cubes","https://codeforces.com/problemset/problem/2111/B",1100,,"T2","[""brute force"",""dp"",""implementation""]","Progressive c++ core foundations practice at day 17.",false,""
1,"cpp-core-foundations",18,"atcoder","abc194:abc194_d","D. Journey","https://atcoder.jp/contests/abc194/tasks/abc194_d",,1078,"T2","[""atcoder""]","Progressive c++ core foundations practice at day 18.",false,""
1,"cpp-core-foundations",19,"codeforces","2078:B","Vicious Labyrinth","https://codeforces.com/problemset/problem/2078/B",1100,,"T2","[""constructive algorithms"",""graphs"",""greedy""]","Progressive c++ core foundations practice at day 19.",false,""
1,"cpp-core-foundations",20,"codeforces","2070:B","Robot Program","https://codeforces.com/problemset/problem/2070/B",1100,,"T2","[""brute force"",""implementation"",""math""]","Progressive c++ core foundations practice at day 20.",false,""
1,"cpp-core-foundations",21,"codeforces","2032:B","Medians","https://codeforces.com/problemset/problem/2032/B",1100,,"T2","[""constructive algorithms"",""greedy"",""implementation""]","Progressive c++ core foundations practice at day 21.",false,""
1,"cpp-core-foundations",22,"atcoder","abc099:abc099_c","C. Strange Bank","https://atcoder.jp/contests/abc099/tasks/abc099_c",,1101,"T2","[""atcoder""]","Progressive c++ core foundations practice at day 22.",false,""
